time_iso8601,stars_cumulative
2019-02-25 00:00:00+00:00,467
2019-02-27 00:00:00+00:00,469
2019-03-04 00:00:00+00:00,470
2019-03-05 00:00:00+00:00,472
2019-03-06 00:00:00+00:00,473
2019-03-07 00:00:00+00:00,475
2019-03-08 00:00:00+00:00,477
2019-03-11 00:00:00+00:00,479
2019-03-12 00:00:00+00:00,481
2019-03-13 00:00:00+00:00,482
2019-03-15 00:00:00+00:00,483
2019-03-22 00:00:00+00:00,487
2019-03-24 00:00:00+00:00,490
2019-03-25 00:00:00+00:00,491
2019-03-28 00:00:00+00:00,493
2019-03-29 00:00:00+00:00,495
2019-03-30 00:00:00+00:00,496
2019-04-02 00:00:00+00:00,497
2019-04-03 00:00:00+00:00,501
2019-04-04 00:00:00+00:00,510
2019-04-05 00:00:00+00:00,516
2019-04-06 00:00:00+00:00,519
2019-04-07 00:00:00+00:00,522
2019-04-08 00:00:00+00:00,523
2019-04-09 00:00:00+00:00,525
2019-04-11 00:00:00+00:00,527
2019-04-12 00:00:00+00:00,529
2019-04-13 00:00:00+00:00,531
2019-04-14 00:00:00+00:00,533
2019-04-16 00:00:00+00:00,534
2019-04-17 00:00:00+00:00,538
2019-04-18 00:00:00+00:00,540
2019-04-19 00:00:00+00:00,543
2019-04-20 00:00:00+00:00,545
2019-04-21 00:00:00+00:00,547
2019-04-22 00:00:00+00:00,549
2019-04-23 00:00:00+00:00,550
2019-04-26 00:00:00+00:00,551
2019-04-27 00:00:00+00:00,552
2019-04-28 00:00:00+00:00,553
2019-04-30 00:00:00+00:00,555
2019-05-01 00:00:00+00:00,556
2019-05-02 00:00:00+00:00,557
2019-05-04 00:00:00+00:00,558
2019-05-05 00:00:00+00:00,559
2019-05-08 00:00:00+00:00,563
2019-05-09 00:00:00+00:00,566
2019-05-10 00:00:00+00:00,567
2019-05-11 00:00:00+00:00,568
2019-05-13 00:00:00+00:00,569
2019-05-14 00:00:00+00:00,570
2019-05-15 00:00:00+00:00,572
2019-05-16 00:00:00+00:00,574
2019-05-19 00:00:00+00:00,575
2019-05-21 00:00:00+00:00,576
2019-05-23 00:00:00+00:00,577
2019-05-25 00:00:00+00:00,578
2019-05-27 00:00:00+00:00,581
2019-05-28 00:00:00+00:00,582
2019-05-29 00:00:00+00:00,583
2019-05-31 00:00:00+00:00,585
2019-06-02 00:00:00+00:00,587
2019-06-06 00:00:00+00:00,588
2019-06-07 00:00:00+00:00,589
2019-06-08 00:00:00+00:00,590
2019-06-09 00:00:00+00:00,591
2019-06-11 00:00:00+00:00,592
2019-06-12 00:00:00+00:00,593
2019-06-14 00:00:00+00:00,594
2019-06-15 00:00:00+00:00,596
2019-06-18 00:00:00+00:00,597
2019-06-20 00:00:00+00:00,598
2019-06-21 00:00:00+00:00,600
2019-06-22 00:00:00+00:00,601
2019-06-25 00:00:00+00:00,602
2019-06-26 00:00:00+00:00,603
2019-07-01 00:00:00+00:00,604
2019-07-03 00:00:00+00:00,605
2019-07-05 00:00:00+00:00,606
2019-07-08 00:00:00+00:00,609
2019-07-09 00:00:00+00:00,611
2019-07-10 00:00:00+00:00,612
2019-07-12 00:00:00+00:00,614
2019-07-13 00:00:00+00:00,615
2019-07-15 00:00:00+00:00,617
2019-07-16 00:00:00+00:00,618
2019-07-18 00:00:00+00:00,620
2019-07-19 00:00:00+00:00,622
2019-07-21 00:00:00+00:00,624
2019-07-22 00:00:00+00:00,625
2019-07-23 00:00:00+00:00,627
2019-07-24 00:00:00+00:00,628
2019-07-25 00:00:00+00:00,629
2019-07-26 00:00:00+00:00,632
2019-07-27 00:00:00+00:00,633
2019-07-28 00:00:00+00:00,636
2019-07-29 00:00:00+00:00,637
2019-07-30 00:00:00+00:00,641
2019-07-31 00:00:00+00:00,642
2019-08-01 00:00:00+00:00,644
2019-08-02 00:00:00+00:00,648
2019-08-04 00:00:00+00:00,650
2019-08-07 00:00:00+00:00,651
2019-08-08 00:00:00+00:00,652
2019-08-10 00:00:00+00:00,654
